city_ascii,state_id,lat,lng
Murfreesboro,TN,35.849,-86.4121
Tempe,AZ,33.3881,-111.9319
Paradise,NV,36.0872,-115.1355
Newport News,VA,37.1051,-76.5185
Erie,PA,42.1167,-80.0733
Fort Lauderdale,FL,26.1412,-80.1464
Gainesville,GA,34.2902,-83.8294
Aurora,IL,41.7638,-88.2902
Mauldin,SC,34.7821,-82.3032
Ontario,CA,34.0393,-117.6064
Elk Grove,CA,38.4161,-121.3842
Panama City,FL,30.1995,-85.6003
Cary,NC,35.7819,-78.8195
Hemet,CA,33.7341,-116.9969
Danbury,CT,41.4015,-73.4709
Rancho Cucamonga,CA,34.1247,-117.5667
Salinas,CA,36.6883,-121.6317
Oceanside,CA,33.2247,-117.3083
Vallejo,CA,38.1125,-122.2342
High Point,NC,35.991,-79.9937
Garden Grove,CA,33.7787,-117.9601
Pembroke Pines,FL,26.0128,-80.3382
Lancaster,CA,34.6935,-118.1753
Marysville,WA,48.0809,-122.1561
Bayamon,PR,18.3794,-66.1635
Fredericksburg,VA,38.2992,-77.4872
Visalia,CA,36.3276,-119.3269
Tuscaloosa,AL,33.2348,-87.5268
Palmdale,CA,34.5944,-118.1057
Santa Cruz,CA,36.9789,-122.0346
Medford,OR,42.3372,-122.854
Norwich,CT,41.5495,-72.0882
Merced,CA,37.3057,-120.4779
Manchester,NH,42.9848,-71.4447
Odessa,TX,31.8801,-102.3448
Muskegon,MI,43.2281,-86.2562
Leesburg,FL,28.7672,-81.8962
Lafayette,IN,40.3991,-86.8593
Hayward,CA,37.6328,-122.0766
Corona,CA,33.8616,-117.5649
Paterson,NJ,40.9147,-74.1624
Alexandria,VA,38.8185,-77.0861
Macon,GA,32.8065,-83.6974
Lakewood,CO,39.6977,-105.1172
Springfield,IL,39.7709,-89.654
Kansas City,KS,39.1235,-94.7443
Burlington,NC,36.076,-79.4685
Warner Robins,GA,32.5961,-83.6527
Sunnyvale,CA,37.3836,-122.0255
Hollywood,FL,26.0293,-80.1679
Roseville,CA,38.7703,-121.3196
New Bedford,MA,41.6697,-70.9428
South Lyon,MI,42.4614,-83.6526
Bellevue,WA,47.5951,-122.1535
Fairfield,CA,38.2583,-122.0335
Binghamton,NY,42.1014,-75.9093
Topeka,KS,39.0346,-95.6955
Escondido,CA,33.1348,-117.0723
Joliet,IL,41.5188,-88.1499
Surprise,AZ,33.6815,-112.4515
Naperville,IL,41.748,-88.1659
Pasadena,TX,29.6575,-95.1498
Mesquite,TX,32.7602,-96.5865
Champaign,IL,40.1142,-88.2737
Pomona,CA,34.0585,-117.7626
Houma,LA,29.58,-90.7059
Athens,GA,33.9508,-83.3689
St. George,UT,37.0758,-113.5752
Beaumont,TX,30.0849,-94.1451
Elkhart,IN,41.6916,-85.9627
Lake Charles,LA,30.201,-93.2111
Santa Maria,CA,34.9333,-120.4431
Yuma,AZ,32.5995,-114.5491
Olathe,KS,38.8833,-94.82
Midland,TX,32.0243,-102.1147
Greeley,CO,40.4152,-104.7706
Torrance,CA,33.8346,-118.3416
Thornton,CO,39.9197,-104.9438
Las Cruces,NM,32.3265,-106.7893
Columbia,MO,38.9472,-92.3268
Fullerton,CA,33.8841,-117.9279
Grand Junction,CO,39.0877,-108.5673
Carolina,PR,18.4054,-65.9792
Metairie,LA,29.9977,-90.178
Orange,CA,33.8038,-117.8218
Warren,MI,42.4934,-83.027
West Valley City,UT,40.6886,-112.0123
Hampton,VA,37.0551,-76.363
Pasadena,CA,34.1597,-118.139
Miramar,FL,25.9773,-80.3351
Elizabeth,NJ,40.6658,-74.1913
Stamford,CT,41.1039,-73.5585
Racine,WI,42.7274,-87.8135
Kent,WA,47.3887,-122.2128
Yakima,WA,46.5923,-120.5496
Coral Springs,FL,26.2702,-80.2591
Sterling Heights,MI,42.5809,-83.0305
Billings,MT,45.7891,-108.5526
Bloomington,IL,40.4757,-88.9703
Charleston,WV,38.3484,-81.6322
Carrollton,TX,32.989,-96.8999
Tyler,TX,32.3184,-95.3062
Iowa City,IA,41.6559,-91.5303
Johnson City,TN,36.3406,-82.3806
Santa Clara,CA,37.3646,-121.968
Bellingham,WA,48.7548,-122.469
Norman,OK,35.2335,-97.3471
Coeur d'Alene,ID,47.704,-116.7936
Fort Smith,AR,35.3495,-94.3695
Lewisville,TX,33.0454,-96.9815
Dover,DE,39.161,-75.5202
Yuba City,CA,39.1357,-121.6383
Lehigh Acres,FL,26.612,-81.6388
Abilene,TX,32.4543,-99.7384
Simi Valley,CA,34.2663,-118.749
Pearland,TX,29.5581,-95.3218
Kenosha,WI,42.5865,-87.8773
Arecibo,PR,18.4491,-66.7387
Meridian,ID,43.6116,-116.3977
Round Rock,TX,30.527,-97.6642
Waldorf,MD,38.6085,-76.9194
Temple,TX,31.1068,-97.3891
Lynchburg,VA,37.4003,-79.1909
Rochester,MN,44.0154,-92.478
Logan,UT,41.7399,-111.8422
Arvada,CO,39.832,-105.151
Clovis,CA,36.8278,-119.683
Independence,MO,39.0871,-94.3501
Redding,CA,40.5698,-122.365
Greenville,NC,35.5943,-77.376
Duluth,MN,46.7756,-92.1393
Berkeley,CA,37.8722,-122.276
Boulder,CO,40.0248,-105.2524
Pueblo,CO,38.2701,-104.6114
West Palm Beach,FL,26.7469,-80.132
Burlington,VT,44.4876,-73.2316
Seaside,CA,36.6224,-121.8199
Richardson,TX,32.9716,-96.7093
Cambridge,MA,42.3759,-71.1185
Monroe,LA,32.5185,-92.0774
North Charleston,SC,32.9067,-80.0722
Saginaw,MI,43.4199,-83.9501
Clearwater,FL,27.979,-82.7623
The Woodlands,TX,30.1738,-95.5134
Brandon,FL,27.9367,-82.3
St. Cloud,MN,45.534,-94.1718
West Jordan,UT,40.6024,-112.0008
Broken Arrow,OK,36.038,-95.7806
Harlingen,TX,26.1916,-97.6977
Kailua,HI,21.392,-157.7396
Westminster,CO,39.8837,-105.0624
Gilroy,CA,37.0046,-121.5854
Richmond,CA,37.9477,-122.3389
Mandeville,LA,30.3751,-90.0904
Utica,NY,43.0962,-75.2261
Ponce,PR,18.0127,-66.6212
League City,TX,29.4874,-95.1087
Port Arthur,TX,29.8554,-93.9264
Lowell,MA,42.6389,-71.3217
East Los Angeles,CA,34.0326,-118.1691
Carlsbad,CA,33.1246,-117.2834
Elgin,IL,42.0383,-88.324
Waterloo,IA,42.4918,-92.3522
Leominster,MA,42.5209,-71.7717
Bend,OR,44.0563,-121.3095
Sioux City,IA,42.4959,-96.3901
Gresham,OR,45.5021,-122.4413
Longview,TX,32.5193,-94.7622
Pompano Beach,FL,26.2428,-80.1312
Downey,CA,33.9379,-118.1311
Murrieta,CA,33.5719,-117.1909
Idaho Falls,ID,43.4871,-112.0362
Miami Gardens,FL,25.9433,-80.2426
Everett,WA,47.9525,-122.1669
Holland,MI,42.7677,-86.0984
Costa Mesa,CA,33.6667,-117.9135
Temecula,CA,33.4928,-117.1315
Jacksonville,NC,34.7289,-77.3941
San Buenaventura,CA,34.2741,-119.2314
Sugar Land,TX,29.5935,-95.6358
Chico,CA,39.7578,-121.8161
South Fulton,GA,33.6273,-84.58
Sparks,NV,39.5736,-119.7161
Eau Claire,WI,44.8197,-91.4948
Auburn,AL,32.6087,-85.4903
Dearborn,MI,42.3127,-83.213
Riverview,FL,27.8227,-82.3023
Allen,TX,33.1088,-96.6735
West Covina,CA,34.0555,-117.9113
Centennial,CO,39.5926,-104.8673
Bloomington,IN,39.1637,-86.5257
Sandy Springs,GA,33.9366,-84.3703
El Monte,CA,34.0739,-118.0291
Hillsboro,OR,45.5273,-122.936
Menifee,CA,33.6909,-117.1849
Rio Rancho,NM,35.2873,-106.6982
Davie,FL,26.0789,-80.287
Jurupa Valley,CA,34.001,-117.4706
Columbia,MD,39.2004,-76.859
Inglewood,CA,33.9566,-118.3444
Spokane Valley,WA,47.6626,-117.2346
Renton,WA,47.4784,-122.1918
San Tan Valley,AZ,33.1786,-111.5629
Burbank,CA,34.1879,-118.3235
Brockton,MA,42.0821,-71.0242
El Cajon,CA,32.8017,-116.9604
Rialto,CA,34.1175,-117.3892
San Mateo,CA,37.5522,-122.3121
Goodyear,AZ,33.2614,-112.3622
Charlottesville,VA,38.0375,-78.4855
Lafayette,CO,39.9946,-105.0998
Lee's Summit,MO,38.9171,-94.3816
Edinburg,TX,26.3196,-98.1597
Daly City,CA,37.6862,-122.4685
Wichita Falls,TX,33.9072,-98.5291
Bowling Green,KY,36.9716,-86.4378
Longmont,CO,40.1686,-105.1005
Vacaville,CA,38.3587,-121.9673
Highlands Ranch,CO,39.5419,-104.9708
Quincy,MA,42.2506,-71.0187
Fishers,IN,39.9588,-85.9659
Lynn,MA,42.4781,-70.9664
Norwalk,CA,33.9069,-118.0829
Carmel,IN,39.965,-86.146
Hesperia,CA,34.3975,-117.3147
St. Augustine,FL,29.8976,-81.31
Buckeye,AZ,33.4314,-112.6429
San Angelo,TX,31.4424,-100.4504
Federal Way,WA,47.3091,-122.3358
Bismarck,ND,46.8143,-100.7694
Boca Raton,FL,26.3752,-80.108
New Braunfels,TX,29.6994,-98.1148
Vista,CA,33.1896,-117.2386
Beaverton,OR,45.4779,-122.8168
Portsmouth,VA,36.8468,-76.354
Orem,UT,40.2981,-111.6994
Conroe,TX,30.3238,-95.4824
Suffolk,VA,36.6953,-76.6398
Sunrise,FL,26.1547,-80.2997
Lawrence,KS,38.9597,-95.2642
Arden-Arcade,CA,38.6017,-121.3845
Prescott Valley,AZ,34.598,-112.3185
Middletown,OH,39.5033,-84.3659
San German,PR,18.0827,-67.046
Edmond,OK,35.6689,-97.416
Tracy,CA,37.7269,-121.4523
Manteca,CA,37.7927,-121.2264
Kingsport,TN,36.5224,-82.5454
Portsmouth,NH,43.058,-70.7826
Sandy,UT,40.5709,-111.8506
Palm Coast,FL,29.5389,-81.2457
Slidell,LA,30.2887,-89.7828
San Marcos,CA,33.135,-117.1743
Livonia,MI,42.3972,-83.3733
Santa Fe,NM,35.6619,-105.9819
Plantation,FL,26.1259,-80.2617
Atascocita,TX,29.9777,-95.1953
Fall River,MA,41.7136,-71.1015
Compton,CA,33.893,-118.2274
Carson,CA,33.8374,-118.2559
La Crosse,WI,43.8241,-91.2268
Missoula,MT,46.8751,-114.0214
O'Fallon,MO,38.785,-90.7175
Mount Pleasant,SC,32.8537,-79.8203
Roswell,GA,34.0391,-84.3513
Hoover,AL,33.3763,-86.8068
Florence,SC,34.178,-79.7898
Williamsburg,VA,37.2693,-76.7076
South Gate,CA,33.9447,-118.1926
Chino,CA,33.9836,-117.6654
Fort Myers,FL,26.6194,-81.8302
Kirkland,WA,47.697,-122.2057
Santa Monica,CA,34.0235,-118.481
Vineland,NJ,39.4653,-74.9981
Norwalk,CT,41.1144,-73.4215
Alafaya,FL,28.528,-81.1868
Lawton,OK,34.6175,-98.4202
Avondale,AZ,33.3873,-112.3235
Germantown,MD,39.1755,-77.2643
Rapid City,SD,44.0716,-103.2204
Westminster,CA,33.7523,-117.9938
Clifton,NJ,40.863,-74.1575
Waukegan,IL,42.3698,-87.8716
Bloomington,MN,44.8306,-93.3151
Mayaguez,PR,18.2003,-67.1397
San Leandro,CA,37.7074,-122.1599
Newton,MA,42.3316,-71.2085
Joplin,MO,37.0757,-94.5018
Lawrence,MA,42.7002,-71.1626
Springdale,AR,36.1901,-94.1574
Troy,MI,42.5817,-83.1457
Citrus Heights,CA,38.6948,-121.288
Deerfield Beach,FL,26.305,-80.1277
Town 'n' Country,FL,28.0106,-82.5763
Winchester,VA,39.1735,-78.1746
Mission,TX,26.2039,-98.3256
Bryan,TX,30.665,-96.3807
Hawthorne,CA,33.9147,-118.3476
Whittier,CA,33.9678,-118.0188
Livermore,CA,37.6868,-121.7607
Lake Forest,CA,33.6605,-117.6714
San Ramon,CA,37.7624,-121.9365
Melbourne,FL,28.1086,-80.6627
Franklin,TN,35.92,-86.8516
Auburn,WA,47.3039,-122.2108
Port Huron,MI,42.9821,-82.4388
Decatur,IL,39.8557,-88.9342
Baytown,TX,29.7587,-94.9671
Brooklyn Park,MN,45.1112,-93.3505
Springfield,OH,39.93,-83.7959
Newport Beach,CA,33.6151,-117.8668
Westland,MI,42.3192,-83.3805
Newark,OH,40.0706,-82.425
Muncie,IN,40.1989,-85.395
Farmington Hills,MI,42.486,-83.3771
Cicero,IL,41.8445,-87.7593
Buena Park,CA,33.8572,-118.0046
Warwick,RI,41.7062,-71.4334
Hattiesburg,MS,31.3074,-89.317
Cranston,RI,41.7658,-71.4858
Albany,GA,31.5776,-84.1762
Layton,UT,41.077,-111.962
Madera,CA,36.963,-120.0778
Largo,FL,27.9088,-82.7712
Redwood City,CA,37.5025,-122.2253
Mountain View,CA,37.4001,-122.0796
Pine Hills,FL,28.5818,-81.4692
Folsom,CA,38.6668,-121.1422
Silver Spring,MD,39.0028,-77.0207
Johns Creek,GA,34.0333,-84.2027
The Villages,FL,28.9034,-81.9887
Owensboro,KY,37.7575,-87.1172
Napa,CA,38.2975,-122.301
New Rochelle,NY,40.9304,-73.7836
Alhambra,CA,34.084,-118.1355
Cheyenne,WY,41.135,-104.7902
Miami Beach,FL,25.8171,-80.1396
Wenatchee,WA,47.436,-120.3295
Jackson,MI,42.2431,-84.4038
Lehi,UT,40.4136,-111.8725
Anderson,IN,40.0891,-85.6892
Homestead,FL,25.4665,-80.4472
Florence,AL,34.8303,-87.6655
Rancho Cordova,CA,38.5737,-121.2527
Morgantown,WV,39.6383,-79.9464
Boynton Beach,FL,26.5281,-80.0811
Somerville,MA,42.3908,-71.1014
North Port,FL,27.0576,-82.1977
Lakewood,CA,33.8471,-118.1222
Salisbury,MD,38.3756,-75.5865
South Jordan,UT,40.557,-111.9784
Parma,OH,41.3843,-81.7286
Pharr,TX,26.1685,-98.1904
State College,PA,40.7909,-77.8567
Plymouth,MN,45.0225,-93.4617
Turlock,CA,37.5053,-120.8588
Davis,CA,38.5553,-121.737
Perris,CA,33.7898,-117.2233
Jonesboro,AR,35.8212,-90.6791
Tustin,CA,33.7311,-117.8107
Terre Haute,IN,39.466,-87.3751
Upland,CA,34.1178,-117.6604
Georgetown,TX,30.666,-97.6966
Texarkana,TX,33.45,-94.0847
Kendall,FL,25.6697,-80.3556
Pasco,WA,46.2506,-119.1305
Milpitas,CA,37.4336,-121.8921
Carmichael,CA,38.6318,-121.3263
Chino Hills,CA,33.9508,-117.7254
Flower Mound,TX,33.0343,-97.1146
Flagstaff,AZ,35.1872,-111.6194
Alton,IL,38.9037,-90.152
Pleasanton,CA,37.6663,-121.8805
Cedar Park,TX,30.5105,-97.8197
Bellflower,CA,33.888,-118.1271
Loveland,CO,40.4166,-105.0623
Mansfield,OH,40.7656,-82.5275
Hammond,IN,41.6168,-87.4909
Bethlehem,PA,40.6266,-75.3679
Woodbury,MN,44.9057,-92.923
Alameda,CA,37.7668,-122.267
Wyoming,MI,42.8908,-85.7066
Schaumburg,IL,42.0308,-88.0838
Castle Rock,CO,39.3763,-104.8535
Evanston,IL,42.0464,-87.6943
Doral,FL,25.8152,-80.3565
St. Joseph,MO,39.7598,-94.821
Valdosta,GA,30.8502,-83.2788
Wausau,WI,44.962,-89.6459
Pocatello,ID,42.8724,-112.4647
Elizabethtown,KY,37.7031,-85.8773
Anniston,AL,33.6712,-85.8135
Arlington Heights,IL,42.0955,-87.9826
Rochester Hills,MI,42.6645,-83.1563
Southfield,MI,42.4765,-83.2605
Daytona Beach,FL,29.1995,-81.0982
Pittsburg,CA,38.0182,-121.8965
Oshkosh,WI,44.0227,-88.5619
Redmond,WA,47.6763,-122.1169
Saratoga Springs,NY,43.0674,-73.7775
Apple Valley,CA,34.5352,-117.2109
Mansfield,TX,32.569,-97.1213
Pawtucket,RI,41.8744,-71.3743
Missouri City,TX,29.563,-95.5365
Broomfield,CO,39.9542,-105.0526
Janesville,WI,42.6854,-89.0135
San Marcos,TX,29.8734,-97.9356
Camarillo,CA,34.223,-119.0321
Jackson,TN,35.6538,-88.8354
Dothan,AL,31.2336,-85.407
Sherman,TX,33.6273,-96.6221
Lauderhill,FL,26.1605,-80.2241
Harrisonburg,VA,38.4362,-78.8735
Bolingbrook,IL,41.6901,-88.1021
Ellicott City,MD,39.2774,-76.8345
Alexandria,LA,31.2923,-92.4702
Battle Creek,MI,42.2985,-85.2296
New Britain,CT,41.6759,-72.7862
Sheboygan,WI,43.7403,-87.7316
Brunswick,GA,31.1449,-81.4746
Altoona,PA,40.5082,-78.4007
Lodi,CA,38.1218,-121.2932
Redlands,CA,34.0512,-117.1712
Caguas,PR,18.2319,-66.0388
Dale City,VA,38.6473,-77.3459
Glen Burnie,MD,39.156,-76.6071
Mount Vernon,NY,40.9136,-73.8291
Lakeville,MN,44.6774,-93.252
Dover,NH,43.1887,-70.8845
Lebanon,PA,40.3412,-76.4228
Rocklin,CA,38.8075,-121.2489
Framingham,MA,42.3085,-71.4368
Wesley Chapel,FL,28.2106,-82.3238
Noblesville,IN,40.0355,-86.0042
Tamarac,FL,26.2056,-80.2539
Centreville,VA,38.839,-77.4389
Poinciana,FL,28.1217,-81.4821
Fairbanks,AK,64.8353,-147.6533
Lake Elsinore,CA,33.6847,-117.3344
Camden,NJ,39.9361,-75.1073
Rogers,AR,36.317,-94.1531
Blaine,MN,45.1696,-93.2077
Wilmington,DE,39.7415,-75.5416
St. Charles,MO,38.7954,-90.5157
Blacksburg,VA,37.23,-80.4279
Waukesha,WI,43.0087,-88.2464
Casas Adobes,AZ,32.3423,-111.0113
Baldwin Park,CA,34.0829,-117.9722
Cleveland,TN,35.1817,-84.8707
Dublin,CA,37.7161,-121.8963
Ankeny,IA,41.7288,-93.6031
Maple Grove,MN,45.1089,-93.4626
Bayonne,NJ,40.6668,-74.1158
North Richland Hills,TX,32.8604,-97.218
Eastvale,CA,33.9617,-117.5803
Guaynabo,PR,18.3832,-66.1134
Glens Falls,NY,43.3109,-73.6458
Longview,WA,46.1461,-122.963
Tulare,CA,36.1995,-119.34
Conway,AR,35.0753,-92.4692
West Des Moines,IA,41.5521,-93.7806
Redondo Beach,CA,33.8577,-118.3765
Walnut Creek,CA,37.9024,-122.0399
Passaic,NJ,40.8574,-74.1282
Porterville,CA,36.0643,-119.0338
Maricopa,AZ,33.0408,-112.0011
Fajardo,PR,18.3331,-65.6589
Spring Hill,TN,35.7437,-86.9116
Gaithersburg,MD,39.1346,-77.2131
